sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
7273,イクヨ,東証二部,輸送用機器,2018-08-13,139,120,1765,1765,1716,19200,1670,1469,1560.0000000000000000,1765,0.13682777399591558884,0.0568862275449102,12.3076923076923077,1894,2023,1891,1162,2250,1686,0.07308782,0.14617564,0.07138810,-0.34164306,0.27478754,-0.04475921,neutral,advanced_but_not_enough_for_long_trend
7279,ハイレックスコーポレーション,東証二部,輸送用機器,2020-12-14,716,120,1412,1462,1370,201700,1336,1069,52795.000000000000,1412,0.24976613657623947615,0.0568862275449102,3.8204375414338479,1513,1771,1769,1592,1953,1368,0.07152975,0.25424929,0.25283286,0.12747875,0.38314448,-0.03116147,neutral,advanced_but_not_enough_for_long_trend
7292,村上開明堂,東証二部,輸送用機器,2020-09-30,651,120,2621,2650,2550,1900,2554,1980,1545.0000000000000000,2621,0.28989898989898989899,0.0262333594361785,1.2297734627831715,2482,2510,3300,2801,3460,2427,-0.05303319,-0.04235025,0.25906143,0.06867608,0.32010683,-0.07401755,neutral,advanced_but_not_enough_for_long_trend
7309,シマノ,東証一部,輸送用機器,2020-11-06,691,120,24760,24790,24245,487800,24035,18380,259335.000000000000,24760,0.30767138193688792165,0.03016434366548783025,1.8809647752906472,24400,24480,25155,31580,35470,22500,-0.01453958,-0.01130856,0.01595315,0.27544426,0.43255250,-0.09127625,neutral,advanced_but_not_enough_for_long_trend
7320,日本リビング保証,東証マザ,その他金融,2019-11-18,397,120,1121,1144,1083,23300,1072,859,10625.000000000000,1121,0.24796274738067520373,0.0457089552238806,2.1929411764705882,1363,1427,1308,1691,1855,1095,0.21587868,0.27297056,0.16681534,0.50847458,0.65477252,-0.02319358,neutral,advanced_but_not_enough_for_long_trend
7445,ライトオン,東証一部,小売,2020-10-15,676,120,636,636,605,176200,622,466,79530.000000000000,636,0.33476394849785407725,0.0225080385852090,2.2155161574248711,668,663,717,711,780,584,0.05031447,0.04245283,0.12735849,0.11792453,0.22641509,-0.08176101,neutral,advanced_but_not_enough_for_long_trend
7480,スズデン,東証一部,卸売,2020-09-28,664,120,1260,1260,1235,12900,1235,1006,7010.0000000000000000,1260,0.22763419483101391650,0.0202429149797571,1.8402282453637660,1173,1261,1339,1622,1640,1142,-0.06904762,0.00079365,0.06269841,0.28730159,0.30158730,-0.09365079,neutral,advanced_but_not_enough_for_long_trend
7481,尾家産業,東証一部,卸売,2019-11-20,458,120,1444,1447,1396,9200,1393,1117,4625.0000000000000000,1444,0.24709042076991942704,0.0366116295764537,1.9891891891891892,1492,1402,1529,1462,1909,1302,0.03324100,-0.02908587,0.05886427,0.01246537,0.32202216,-0.09833795,neutral,advanced_but_not_enough_for_long_trend
7501,ティムコ,JQS,卸売,2020-05-22,577,120,654,654,618,9200,627,503,5590.0000000000000000,654,0.24652087475149105368,0.0430622009569378,1.6457960644007156,703,668,756,712,844,631,0.07492355,0.02140673,0.15596330,0.08868502,0.29051988,-0.03516820,neutral,advanced_but_not_enough_for_long_trend
7504,高速,東証一部,卸売,2020-04-24,562,120,1428,1450,1319,40400,1355,1009,20885.000000000000,1428,0.34291377601585728444,0.0538745387453875,1.9344026813502514,1507,1435,1536,1439,1843,1322,0.05532213,0.00490196,0.07563025,0.00770308,0.29061625,-0.07422969,neutral,advanced_but_not_enough_for_long_trend
7520,エコス,東証一部,小売,2020-04-13,553,120,1807,1812,1715,84100,1760,1325,37350.000000000000,1807,0.32830188679245283019,0.0267045454545455,2.2516733601070950,1857,1993,2131,1900,2494,1786,0.02767017,0.10293304,0.17930271,0.05146652,0.38018816,-0.01162147,neutral,advanced_but_not_enough_for_long_trend
7552,ハピネット,東証一部,卸売,2020-09-03,649,120,1327,1328,1272,120400,1300,969,62190.000000000000,1327,0.34158926728586171311,0.0207692307692308,1.9360025727608940,1423,1460,1529,1471,1677,1304,0.07234363,0.10022607,0.15222306,0.10851545,0.26375283,-0.01733233,neutral,advanced_but_not_enough_for_long_trend
7565,萬世電機,東証二部,卸売,2020-06-03,430,120,2372,2372,2250,1500,2315,1909,1150.0000000000000000,2372,0.21267679413305395495,0.0246220302375810,1.3043478260869565,2440,2760,2752,3290,3435,2390,0.02866779,0.16357504,0.16020236,0.38701518,0.44814503,0.00758853,neutral,advanced_but_not_enough_for_long_trend
7570,橋本総業ホールディングス,東証一部,卸売,2019-11-18,456,120,1788,1788,1743,7300,1748,1388,5800.0000000000000000,1788,0.25936599423631123919,0.0228832951945080,1.2586206896551724,1967,1758,1873,2400,2640,1701,0.10011186,-0.01677852,0.04753915,0.34228188,0.47651007,-0.04865772,neutral,advanced_but_not_enough_for_long_trend
