sc,name,market,industry,trade_date,close_price,volume,market_cap_million_yen
1982,日比谷総合設備,東証PR,建設,2026-04-15,3025,90300,133100
198A,PostPrime,東証GR,情報通信,2026-04-15,203,374500,2081
1992,神田通信機,東証ST,建設,2026-04-15,,,7332
1994,高橋カーテンウォール工業,東証ST,建設,2026-04-15,553,3400,5283
1997,暁飯島工業,東証ST,建設,2026-04-15,4005,1400,8811
2001,ニップン,東証PR,食料品,2026-04-15,2745,223400,232576
2002,日清製粉グループ本社,東証PR,食料品,2026-04-15,2107.5,807000,594551
2003,日東富士製粉,東証ST,食料品,2026-04-15,1849,18700,69409
2004,昭和産業,東証PR,食料品,2026-04-15,3230,66500,106575
2009,鳥越製粉,東証ST,食料品,2026-04-15,1108,7900,28848
2053,中部飼料,東証PR,食料品,2026-04-15,1743,59200,52938
2055,日和産業,東証ST,食料品,2026-04-15,369,9600,7687
205A,ロゴスホールディングス,東証GR,建設,2026-04-15,1853,120100,7271
2060,フィード・ワン,東証PR,食料品,2026-04-15,1141,78000,43902
206A,PRISM_BioLab,東証GR,医薬品,2026-04-15,195,324100,7202
208A,構造計画研究所ホールディングス,東証ST,情報通信,2026-04-15,2940,6300,32340
2108,日本甜菜製糖,東証PR,食料品,2026-04-15,3930,24900,50344
2109,DM三井製糖,東証PR,食料品,2026-04-15,3505,32600,110284
2112,塩水港精糖,東証ST,食料品,2026-04-15,510,25900,17850
2114,フジ日本,東証ST,食料品,2026-04-15,611,23000,31428
2117,ウェルネオシュガー,東証PR,食料品,2026-04-15,2811,18200,92201
211A,カドス・コーポレーション,東証ST,建設,2026-04-15,4060,3400,4111
2120,LIFULL,東証PR,サービス,2026-04-15,201,827600,27048
2121,MIXI,東証PR,情報通信,2026-04-15,2583,228400,184248
2122,インタースペース,東証ST,サービス,2026-04-15,1263,3800,8800
2124,ジェイエイシーリクルートメント,東証PR,サービス,2026-04-15,867,265700,143538
2127,日本M＆Aセンターホールディングス,東証PR,サービス,2026-04-15,676.5,1380400,227936
212A,フィットイージー,東証PR,サービス,2026-04-15,2409,95700,40216
2130,メンバーズ,東証PR,サービス,2026-04-15,1076,69600,14443
2134,北浜キャピタルパートナーズ,東証ST,サービス,2026-04-15,32,2816800,17526
2136,ヒップ,東証ST,サービス,2026-04-15,1446,1200,5748
2138,クルーズ,東証ST,情報通信,2026-04-15,530,14700,6868
2139,中広,東証ST,サービス,2026-04-15,506,1700,3564
2146,UTグループ,東証PR,サービス,2026-04-15,193,5476200,115790
2148,アイティメディア,東証PR,サービス,2026-04-15,1581,83000,33394
2152,幼児活動研究会,東証ST,サービス,2026-04-15,1500,500,17676
2153,E・Jホールディングス,東証PR,サービス,2026-04-15,1757,42300,32292
2154,オープンアップグループ,東証PR,サービス,2026-04-15,1776,140300,161301
