sc,name,market,industry,trade_date,trade_seq,lookback_obs,raw_close_price,adjustment_factor,adjusted_close_price,entry_price,range_high,range_low,range_width_pct,breakout_margin_pct,day_return_pct,gap_pct,body_ratio,upper_wick_ratio,lower_wick_ratio,volume_ratio,is_bullish,prior_return_20d_pct,prior_return_60d_pct,ma_gap_20_pct,ma_gap_60_pct,ma_slope_20_pct,ma_slope_60_pct,atr_20_pct,atr_20_to_range_ratio,return_20d_pct,return_60d_pct,return_120d_pct,return_240d_pct,future_max_return_240d_pct,future_min_return_60d_pct,dataset_split,bullish_count_10,bullish_count_20,bullish_count_60,up_day_count_10,up_day_count_20,up_day_count_60,high_volume_bullish_count_20,high_volume_bullish_count_60,long_upper_wick_count_20,long_upper_wick_count_60,long_lower_wick_count_20,long_lower_wick_count_60,range_high_touch_count_120,higher_high_count_20,higher_low_count_20,label,label_reason,case_id
2588,プレミアムウォーターホールディングス,東証二部,食料品,2019-07-25,379,120,1859,1.0000000000,1859.00000000,1859.00000000,1799.00000000,1340.00000000,0.34253731343283582090,0.0333518621456365,0.0720876585928489,0.0028835063437140,0.68965517241379310345,0.18390804597701149425,0.12643678160919540230,21.3296398891966759,True,0.1803174603174603,0.1125074805505685,0.1322938238518699,0.1282736017964980,0.0249719066050693,-0.01467143754173685100,0.01823561054330285100,0.07385620915032679739,-0.05110274341043571813,-0.00699300699300699301,-0.03711672942442173211,0.3630984400215169,0.4152770306616460,-0.10005379236148466918,train,6,12,27,6,11,31,3,5,3,8,1,10,5,11,14,non_trend,early_drawdown_breached_failure_threshold,2588_2019-07-25
2588,プレミアムウォーターホールディングス,東証二部,食料品,2020-06-18,596,120,1967,1.0000000000,1967.00000000,1967.00000000,1886.00000000,1606.00000000,0.17434620174346201743,0.0429480381760339,0.0429480381760339,0.0021208907741251,0.81914893617021276596,0.13829787234042553191,0.04255319148936170213,8.3082373782108060,True,0.1259301659988552,0.1849397590361446,0.0892075973198959,0.1252860411899314,0.0310590922066800,0.0070381287987172,0.01936959837315709202,0.13607142857142857143,0.2094560244026436,0.7234367056431113,0.9089984748347738,0.5632943568886629,1.3106253177427555,-0.00152516522623284189,train,9,12,35,9,12,36,4,8,3,11,5,11,4,11,13,trend,future_max_and_confirm_return_cleared_thresholds,2588_2020-06-18
2590,ダイドーグループホールディングス,東証一部,食料品,2020-11-11,694,120,5770,0.5000000000,2885.00000000,2885.00000000,2805.00000000,2212.50000000,0.26779661016949152542,0.0285204991087344,0.0285204991087344,0.0071301247771836,0.85714285714285714286,0.07142857142857142857,0.07142857142857142857,1.9289603318641431,True,0.1225680933852140,0.2263549415515409,0.0737880338699172,0.1047643360883301,0.0042986636762919,0.0473071202981134,0.02079722703639514731,0.10126582278481012658,-0.01733102253032928943,-0.07452339688041594454,-0.10745233968804159445,-0.04852686308492201040,0.0554592720970537,-0.11958405545927209705,train,6,11,34,7,13,34,2,5,4,12,3,11,4,9,11,non_trend,early_drawdown_breached_failure_threshold,2590_2020-11-11
2593,伊藤園,東証一部,食料品,2019-03-29,303,120,5750,1.0000000000,5750.00000000,5750.00000000,5600.00000000,4670.00000000,0.19914346895074946467,0.0267857142857143,0.0341726618705036,0.0161870503597122,0.83333333333333333333,0E-20,0.16666666666666666667,2.2615225271879855,True,0.1408730158730159,0.2156448202959831,0.0737628384687208,0.1299990173921588,0.0563692853972481,0.0240662786992470,0.01891304347826086957,0.11693548387096774194,-0.03826086956521739130,-0.11130434782608695652,-0.10782608695652173913,0.0173913043478261,0.0173913043478261,-0.12695652173913043478,train,4,7,29,7,12,31,1,2,5,10,5,8,3,12,14,non_trend,early_drawdown_breached_failure_threshold,2593_2019-03-29
2593,伊藤園,東証一部,食料品,2020-11-16,697,120,7880,1.0000000000,7880.00000000,7880.00000000,7670.00000000,5940.00000000,0.29124579124579124579,0.0273794002607562,0.0273794002607562,0.0052151238591917,0.68000000000000000000,0.12000000000000000000,0.20000000000000000000,1.3326372478980052,True,0.1145685997171146,0.2587859424920128,0.1215485340165101,0.1307488101786526,-0.04602851323828920570,0.0412122117635340,0.02303299492385786802,0.10491329479768786127,-0.15609137055837563452,-0.15228426395939086294,-0.19923857868020304569,-0.04060913705583756345,0.0558375634517766,-0.18781725888324873096,train,6,9,30,7,9,31,2,9,8,11,2,9,3,9,10,non_trend,early_drawdown_breached_failure_threshold,2593_2020-11-16
2594,キーコーヒー,東証一部,食料品,2019-11-07,449,120,2398,1.0000000000,2398.00000000,2398.00000000,2346.00000000,2044.00000000,0.14774951076320939335,0.0221653878942882,0.0221653878942882,0.0008525149190111,0.96153846153846153846,0.03846153846153846154,0E-20,2.0532419609910385,True,0.0860507246376812,0.1391923990498812,0.0524929775280899,0.0937785075716110,0.0419115125185778,0.0237365168801656,0.01422018348623853211,0.11291390728476821192,-0.00959132610508757298,-0.03294412010008340284,-0.05170975813177648040,-0.10884070058381984987,0.0250208507089241,-0.05671392827356130108,train,6,11,34,7,13,34,2,11,5,10,3,14,4,12,14,non_trend,future_max_return_never_reached_half_trend_threshold,2594_2019-11-07
2597,ユニカフェ,東証一部,食料品,2018-09-25,180,120,1250,1.0000000000,1250.00000000,1250.00000000,1217.00000000,1074.00000000,0.13314711359404096834,0.0271158586688578,0.0271158586688578,0.0024650780608053,1.00000000000000000000,0E-20,0E-20,2.7745664739884393,True,0.0803802938634399,0.0602205258693808,0.0557432432432432,0.0819232267278314,0.0297890845836051,0.0027339003645200,0.01224000000000000000,0.10699300699300699301,-0.00160000000000000000,-0.14800000000000000000,-0.20160000000000000000,-0.20160000000000000000,0.0400000000000000,-0.14800000000000000000,train,6,10,31,4,9,30,4,6,7,15,3,5,4,12,10,non_trend,early_drawdown_breached_failure_threshold,2597_2018-09-25
2597,ユニカフェ,東証一部,食料品,2020-11-17,698,120,1134,1.0000000000,1134.00000000,1134.00000000,1110.00000000,858.00000000,0.29370629370629370629,0.0216216216216216,0.0216216216216216,0.0081081081081081,0.78947368421052631579,0.05263157894736842105,0.15789473684210526316,1.4234663490172722,True,0.1172413793103448,0.2180451127819549,0.0576878235321550,0.1051733939738488,0.0386031192482805,0.0419910635705098,0.00912698412698412698,0.04107142857142857143,0.0864197530864198,-0.10493827160493827160,-0.11640211640211640212,-0.03615520282186948854,0.0934744268077601,-0.12786596119929453263,train,8,12,32,8,14,42,1,10,4,9,4,19,4,12,12,non_trend,early_drawdown_breached_failure_threshold,2597_2020-11-17
2602,日清オイリオグループ,東証一部,食料品,2018-11-09,212,120,3605,1.0000000000,3605.00000000,3605.00000000,3500.00000000,2992.00000000,0.16978609625668449198,0.0300000000000000,0.0300000000000000,-0.01142857142857142857,0.93548387096774193548,0.06451612903225806452,0E-20,1.6020284265409614,True,0.1007633587786260,0.1704545454545455,0.0631866106318661,0.1149484536082474,0.0372438054450902,0.0295218030429268,0.02766990291262135922,0.19635826771653543307,-0.06380027739251040222,-0.05686546463245492372,-0.11234396671289875173,0.1262135922330097,0.1386962552011096,-0.19611650485436893204,train,4,11,30,5,10,31,4,8,4,11,6,13,2,8,11,non_trend,early_drawdown_breached_failure_threshold,2602_2018-11-09
2602,日清オイリオグループ,東証一部,食料品,2019-10-30,444,120,3815,1.0000000000,3815.00000000,3815.00000000,3695.00000000,2958.00000000,0.24915483434753211629,0.0324763193504736,0.0324763193504736,0.0148849797023004,0.81250000000000000000,0.18750000000000000000,0E-20,1.8329199685439477,True,0.1253687315634218,0.1978021978021978,0.0657168796703680,0.1404968560353160,0.0569867867424522,0.0484518902767112,0.01906946264744429882,0.09871099050203527815,0.0170380078636959,-0.05373525557011795544,-0.04980340760157273919,-0.20707732634338138925,0.0760157273918742,-0.05373525557011795544,train,2,10,35,5,11,33,1,4,5,13,4,12,4,12,12,non_trend,future_max_return_never_reached_half_trend_threshold,2602_2019-10-30
